Fecha;Número ID;Sucursal;Producto;Monto USD;Vendedor;Estado App;Fecha Registro en la App;estado_mora
23/05/2025;1;Durazno;Premier;;;Registrado;24/05/2025;Cobrado
14/05/2025;2;Canelones;Préstamo Consumo;672,0;C2;No Registrado;;Cobrado
10/10/2025;3;Montevideo;Tarjeta de Crédito;;;No Registrado;;En Mora
15/12/2025;4;Montevideo;Premier;;;Registrado;21/12/2025;Cobrado
30/12/2025;5;Montevideo;Préstamo Automotor;20053,0;M1;Registrado;31/12/2025;Incobrable
04/06/2025;6;Canelones;Préstamo Consumo;2957,0;C1;Registrado;11/06/2025;Incobrable
13/05/2025;7;Colonia;Premier;;;Registrado;19/05/2025;Cobrado
16/12/2025;8;Paysandú;Cuenta Sueldo;;;Registrado;23/12/2025;Cobrado
24/01/2025;9;Flores;Premier;;;Registrado;31/01/2025;Cobrado
30/10/2025;10;Maldonado;Cuenta Sueldo;;;No Registrado;;Cobrado
21/08/2025;11;San José;Tarjeta de Crédito;;;Registrado;27/08/2025;Cobrado
19/05/2025;12;Flores;Cuenta Sueldo;;;No Registrado;;Cobrado
27/01/2025;13;Colonia;Tarjeta de Crédito;;;No Registrado;;Cobrado
14/11/2025;14;Treinta y Tres;Tarjeta de Crédito;;;No Registrado;;Cobrado
24/12/2025;15;Canelones;Tarjeta de Crédito;;;Registrado;28/12/2025;Cobrado
02/06/2025;16;Montevideo;Préstamo Hipotecario;244058,0;M2;Registrado;09/06/2025;Cobrado
30/12/2025;17;Montevideo;Cuenta Sueldo;;;No Registrado;;Cobrado
24/12/2025;18;Montevideo;Cuenta Sueldo;;;Registrado;29/12/2025;Cobrado
09/04/2025;19;Durazno;Préstamo Consumo;3996,0;D3;No Registrado;;Cobrado
24/11/2025;20;Río Negro;Préstamo Hipotecario;215753,0;N1;No Registrado;;En Mora
30/05/2025;21;Canelones;Cuenta Sueldo;;;No Registrado;;En Mora
07/11/2025;22;Canelones;Tarjeta de Crédito;;;No Registrado;;Cobrado
17/03/2025;23;Colonia;Cuenta Sueldo;;;Registrado;21/03/2025;En Mora
06/06/2025;24;Maldonado;Cuenta Sueldo;;;Registrado;09/06/2025;Cobrado
10/03/2025;25;Maldonado;Cuenta Sueldo;;;No Registrado;;Cobrado
13/06/2025;26;Salto;Tarjeta de Crédito;;;Registrado;17/06/2025;Incobrable
20/02/2025;27;Canelones;Cuenta Sueldo;;;Registrado;25/02/2025;Cobrado
20/06/2025;28;Canelones;Préstamo Automotor;9142,0;C1;Registrado;26/06/2025;Cobrado
17/07/2025;29;Canelones;Tarjeta de Crédito;;;Registrado;22/07/2025;Incobrable
08/05/2025;30;Rivera;Préstamo Automotor;15672,0;R2;Registrado;12/05/2025;Incobrable
17/11/2025;31;Canelones;Tarjeta de Crédito;;;Registrado;22/11/2025;Cobrado
