Periodo,Grupo,Producto,Super,Precio
Abr25,Alimentos y bebidas,Aceite de girasol Marca Propia Envase 900 cc,Devoto,"80,00"
Abr25,Alimentos y bebidas,Aceite de girasol Marca Propia Envase 900 cc,Devoto Express,"99,00"
Abr25,Alimentos y bebidas,Aceite de girasol Marca Propia Envase 900 cc,Disco,"99,00"
Abr25,Alimentos y bebidas,Aceite de girasol Marca Propia Envase 900 cc,Ta - Ta,"95,00"
Abr25,Alimentos y bebidas,Aceite de girasol Marca Propia Envase 900 cc,Tienda Inglesa,"97,00"
Abr25,Alimentos y bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Devoto,"119,00"
Abr25,Alimentos y bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Devoto Express,"123,00"
Abr25,Alimentos y bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Disco,"119,00"
Abr25,Alimentos y bebidas,Aceite de girasol Río de la Plata Envase 900 cc,El Dorado,"119,00"
Abr25,Alimentos y bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Frog,"130,00"
Abr25,Alimentos y bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Kinko,"132,00"
Abr25,Alimentos y bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Red Expres,"115,00"
Abr25,Alimentos y bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Red Market,"115,00"
Abr25,Alimentos y bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Ta - Ta,"121,00"
Abr25,Alimentos y bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Tienda Inglesa,"126,00"
Abr25,Alimentos y bebidas,Aceite de girasol Uruguay Envase 900 cc,El Clon,"85,00"
Abr25,Alimentos y bebidas,Aceite de girasol Uruguay Envase 900 cc,El Dorado,"89,90"
Abr25,Alimentos y bebidas,Aceite de girasol Uruguay Envase 900 cc,Macro,"91,49"
Abr25,Alimentos y bebidas,Aceite de girasol Uruguay Envase 900 cc,Micro Macro,"98,80"
Abr25,Alimentos y bebidas,Aceite de girasol Uruguay Envase 900 cc,Red Expres,"85,00"
Abr25,Alimentos y bebidas,Aceite de girasol Uruguay Envase 900 cc,Red Market,"87,00"
Abr25,Alimentos y bebidas,Aceite de girasol Uruguay Envase 900 cc,Ta - Ta,"94,00"
Abr25,Alimentos y bebidas,Aceite de girasol Uruguay Envase 900 cc,Tienda Inglesa,"101,00"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Devoto,"99,00"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Devoto Express,"102,00"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Disco,"99,00"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,El Clon,"95,00"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,El Dorado,"98,00"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Frog,"123,00"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Kinko,"99,00"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Macro,"97,97"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Micro Macro,"97,97"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Red Expres,"105,00"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Red Market,"100,50"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Ta - Ta,"99,00"
Abr25,Alimentos y bebidas,Aceite de girasol Óptimo Envase 900 cc,Tienda Inglesa,"102,00"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,Devoto,"129,00"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,Devoto Express,"133,00"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,Disco,"129,00"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,El Clon,"105,00"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,El Dorado,"129,90"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,Macro,"115,54"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,Micro Macro,"124,78"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,Red Expres,"121,00"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,Red Market,"105,00"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,Ta - Ta,"129,00"
Abr25,Alimentos y bebidas,Aceite de maíz Delicia Envase 900 cc,Tienda Inglesa,"140,00"
Abr25,Alimentos y bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Devoto,"139,00"
Abr25,Alimentos y bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Devoto Express,"143,00"
Abr25,Alimentos y bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Disco,"139,00"
Abr25,Alimentos y bebidas,Aceite de maíz Río de la Plata Envase 900 cc,El Dorado,"139,00"
Abr25,Alimentos y bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Frog,"135,00"
Abr25,Alimentos y bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Kinko,"145,00"
Abr25,Alimentos y bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Red Expres,"140,00"
Abr25,Alimentos y bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Red Market,"139,50"
